site.id,lat,lon,source,unique.site,ISLAND,STATE,COUNTRY,min_SST,prod,complexity,IslType,wave,arag,depth,cropper,browser,scraper.excavator,total_herb,ratiopq,fleshypq,reefbuilderpq,log10ratiopq
MID-406,28.22966,182.68515,CRED.nSPC,MID-406 11-08-03 nSPC,Midway,Uninhabited,HI,18.96299934,572.2653365,0.719063239,atoll,0,3.510068178,6,12.76085714,43.89885714,27.19371429,83.85342857,0.349544073,0.740990991,0.259009009,-0.456498058
MID-417,28.23948,182.68599,CRED.nSPC,MID-417 11-08-03 nSPC,Midway,Uninhabited,HI,18.96299934,572.2653365,0.487596788,atoll,156665.2527,3.510068178,22.8,49.99,0,146.596,196.586,0.013921114,0.986270023,0.013729977,-1.85632602
MID-225,28.19199,182.58659,CRED.nSPC,MID-225 11-08-03 nSPC,Midway,Uninhabited,HI,19.03800011,526.3877243,0.719063239,atoll,202036.441,3.510068178,27,67.74485714,32.91971429,186.08,292.0822857,0.067340067,0.936908517,0.063091483,-1.171726454
MID-221,28.19773,182.63289,CRED.nSPC,MID-221 11-08-05 nSPC,Midway,Uninhabited,HI,18.99900055,539.1153706,0.719063239,atoll,0,3.510068178,9.3,7.557714286,65.83942857,48.22257143,121.6197143,0.107142857,0.903225807,0.096774194,-0.970036777
MID-224,28.1968,182.64142,CRED.nSPC,MID-224 11-08-03 nSPC,Midway,Uninhabited,HI,19.02000046,539.1153706,0.256130336,atoll,32380.63493,3.510068178,18.1,1.801714286,0,0,1.801714286,0.005602241,0.994428969,0.005571031,-2.25163822
MID-214,28.20007,182.65138,CRED.nSPC,MID-214 11-08-05 nSPC,Midway,Uninhabited,HI,19.02000046,539.1153706,0.487596788,atoll,0,3.510068178,5.1,4.202285714,103.16,72.85714286,336.7102857,0.046728972,0.955357143,0.044642857,-1.330413773
MID-418,28.21163,182.68941,CRED.nSPC,MID-418 11-08-03 nSPC,Midway,Uninhabited,HI,19.00499916,553.4153931,0.487596788,atoll,92804.91723,3.510068178,24.2,22.524,103.16,56.46428571,408.1854286,0.011574074,0.988558352,0.011441648,-1.936513742
MID-223,28.20933,182.6893,CRED.nSPC,MID-223 11-08-03 nSPC,Midway,Uninhabited,HI,19.00499916,553.4153931,0.256130336,atoll,92663.27347,3.510068178,24.8,0,103.16,0,259.2285714,1.00E-05,1,1.00E-05,-5
PHR-291,27.95490604,184.1662978,CRED.nSPC,PHR-291 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.28700066,677.8268982,0.984621648,atoll,291076.5144,3.485491276,12.5,33.32342857,0,99.09971429,132.4231429,0.474916388,0.678004535,0.321995465,-0.323382844
PHR-307,27.9600656,184.1766012,CRED.nSPC,PHR-307 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.26300049,736.1270121,0.95052969,atoll,294867.927,3.485491276,24,13.406,0,57.53485714,70.94085714,0.301242236,0.731818182,0.220454545,-0.521084137
PHR-288,27.96477883,184.2250909,CRED.nSPC,PHR-288 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.21199989,738.5734101,0.558929216,atoll,315468.3211,3.485491276,15,54.98857143,4.015142857,103.6685714,162.6722857,0.217391304,0.821428571,0.178571429,-0.662757832
PHR-327,27.9558195,184.2518203,CRED.nSPC,PHR-327 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.21199989,700.8245997,0.58609315,atoll,311957.1991,3.485491276,14,0,16.72228571,0,16.72228571,0.090651558,0.916883117,0.083116883,-1.042624727
PHR-333,27.94986,184.25705,CRED.nSPC,PHR-333 11-08-08 nSPC,Pearl & Hermes,Uninhabited,HI,19.21199989,700.8245997,0.95052969,atoll,304262.6428,3.485491276,5,13.43171429,0,38.02028571,51.452,1.340659341,0.427230047,0.572769953,0.127318438
PHR-332,27.96286,184.22221,CRED.nSPC,PHR-332 11-08-08 nSPC,Pearl & Hermes,Uninhabited,HI,19.21199989,738.5734101,0.95052969,atoll,299900.1177,3.485491276,5,8.471428571,9.984285714,55.61057143,74.06628571,0.301492537,0.768348624,0.231651376,-0.520723433
PHR-337,27.96695,184.2226,CRED.nSPC,PHR-337 11-08-08 nSPC,Pearl & Hermes,Uninhabited,HI,19.21199989,694.9813976,0.719063239,atoll,316063.3773,3.485491276,19.3,7.896285714,0,68.31714286,76.21342857,0.138817481,0.878103838,0.121896163,-0.857555842
PHR-334,27.95101063,184.2724062,CRED.nSPC,PHR-334 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.1760006,640.2931577,0.719063239,atoll,315671.493,3.485491276,27,8.312,0,33.13828571,41.45028571,0.107438017,0.902985075,0.097014925,-0.968842018
PHR-339,27.95141,184.27084,CRED.nSPC,PHR-339 11-08-08 nSPC,Pearl & Hermes,Uninhabited,HI,19.1760006,700.8245997,0.487596788,atoll,315295.2711,3.485491276,27,10.93,0,17.19828571,28.12828571,0.31316726,0.761517615,0.238482385,-0.504223648
PHR-362,27.90985239,184.0870094,CRED.nSPC,PHR-362 10-09-16 nSPC,Pearl & Hermes,Uninhabited,HI,19.18799973,839.1788982,0.817357211,atoll,280561.2767,3.485491276,26,44.10371429,0,179.4291429,223.5328571,0.117977528,0.824074074,0.097222222,-0.928200708
PHR-330,27.93110101,184.1247545,CRED.nSPC,PHR-330 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.18799973,692.2802408,0.719063239,atoll,281502.9205,3.485491276,13,28.89114286,6.722285714,79.39571429,115.0091429,0.227777778,0.812641084,0.18510158,-0.642488648
PHR-329,27.93632898,184.131924,CRED.nSPC,PHR-329 10-09-15 nSPC,Pearl & Hermes,Uninhabited,HI,19.20299911,692.2802408,1.198296596,atoll,282905.0674,3.485491276,13,31.82114286,0,139.026,170.8471429,0.590909091,0.628571429,0.371428571,-0.228479329
PHR-168,27.86913,184.03749,CRED.nSPC,PHR-168 11-08-08 nSPC,Pearl & Hermes,Uninhabited,HI,19.29599953,790.2848299,1.413462593,atoll,272641.6422,3.485491276,19,7.765428571,0,79.542,87.30742857,1.338235294,0.427672956,0.572327044,0.12653248
PHR-287,27.88181534,184.2686033,CRED.nSPC,PHR-287 10-09-14 nSPC,Pearl & Hermes,Uninhabited,HI,19.17300034,618.1935159,0.95052969,atoll,71298.42935,3.485491276,5.5,15.87914286,29.7,53.522,99.10114286,0.068126521,0.936218679,0.063781321,-1.166683791
PHR-293,27.89610179,184.2766638,CRED.nSPC,PHR-293 10-09-14 nSPC,Pearl & Hermes,Uninhabited,HI,19.17300034,618.1935159,0.786574287,atoll,83636.73582,3.485491276,17,22.16828571,0,13.89171429,36.06,0.06127451,0.942263279,0.057736721,-1.212720154
PHR-331,27.8582456,184.0436612,CRED.nSPC,PHR-331 10-09-16 nSPC,Pearl & Hermes,Uninhabited,HI,19.29000092,839.9512871,0.840461727,atoll,259902.4389,3.485491276,8,15.264,103.16,139.9425714,261.996,0.224852071,0.816425121,0.183574879,-0.648103108
PHR-295,27.85814401,184.2611633,CRED.nSPC,PHR-295 10-09-13 nSPC,Pearl & Hermes,Uninhabited,HI,19.17900085,591.9568991,0.719063239,atoll,70305.73246,3.485491276,11,38.12914286,13.74714286,6.22,58.09628571,0.045783133,0.956221198,0.043778802,-1.339294496
PHR-296,27.85297304,184.2588487,CRED.nSPC,PHR-296 10-09-13 nSPC,Pearl & Hermes,Uninhabited,HI,19.17900085,591.9568991,0.660499438,atoll,68914.32931,3.485491276,10.5,30.86542857,0,48.44057143,79.306,0.073710074,0.931350114,0.068649886,-1.132473154
PHR-285,27.82068352,184.2452268,CRED.nSPC,PHR-285 10-09-14 nSPC,Pearl & Hermes,Uninhabited,HI,19.17900085,544.5627481,0.763921078,atoll,58352.16351,3.485491276,5,21.30485714,40.70542857,46.71571429,108.726,0.040767386,0.960829493,0.039170507,-1.389687134
PHR-299,27.79172891,184.004331,CRED.nSPC,PHR-299 10-09-16 nSPC,Pearl & Hermes,Uninhabited,HI,19.27799988,550.9859205,0.563625914,atoll,264381.7702,3.485491276,9.5,33.07114286,0,44.57628571,77.64742857,0.119170984,0.893518519,0.106481481,-0.923829473
PHR-340,27.79673,184.00215,CRED.nSPC,PHR-340 11-08-09 nSPC,Pearl & Hermes,Uninhabited,HI,19.27799988,550.9859205,0.599428893,atoll,267695.6921,3.485491276,14.5,22.93457143,16.72228571,7.322285714,46.97914286,0.179063361,0.848130841,0.151869159,-0.746993268
PHR-137,27.78152,184.11404,CRED.nSPC,PHR-137 11-08-09 nSPC,Pearl & Hermes,Uninhabited,HI,19.18199921,530.2467778,0.487596788,atoll,30116.34739,3.485491276,4.9,29.61685714,7.904285714,24.99,62.51114286,0.060827251,0.94266055,0.05733945,-1.215901813
PHR-286,27.78918249,184.1648273,CRED.nSPC,PHR-286 10-09-14 nSPC,Pearl & Hermes,Uninhabited,HI,19.20000076,530.2467778,0.487596788,atoll,0,3.485491276,4,22.52142857,0,12.94285714,35.46428571,0.061068702,0.942446043,0.057553957,-1.214181309
PHR-135,27.79116,184.14319,CRED.nSPC,PHR-135 11-08-09 nSPC,Pearl & Hermes,Uninhabited,HI,19.20000076,530.2467778,0.719063239,atoll,9816.612668,3.485491276,4.85,11.49914286,5.362285714,2.119142857,18.98057143,1.00E-05,1,1.00E-05,-5
PHR-377,27.78196097,184.1923419,CRED.nSPC,PHR-377 10-09-14 nSPC,Pearl & Hermes,Uninhabited,HI,19.29299927,525.5471226,0.487596788,atoll,36066.32562,3.485491276,9,43.44485714,14.88742857,0,58.33228571,0.028776978,0.972027972,0.027972028,-1.540954809
PHR-298,27.79518628,184.2255239,CRED.nSPC,PHR-298 10-09-13 nSPC,Pearl & Hermes,Uninhabited,HI,19.2689991,519.932024,0.487596788,atoll,58354.87288,3.485491276,8,41.66457143,2.916,14.93571429,59.51628571,0.021276596,0.979166667,0.020833333,-1.672097858
PHR-297,27.80441986,184.2396369,CRED.nSPC,PHR-297 10-09-13 nSPC,Pearl & Hermes,Uninhabited,HI,19.2689991,537.6536986,0.487596788,atoll,69544.49182,3.485491276,16.5,31.14857143,0,0,31.14857143,0.004842615,0.995180723,0.004819277,-2.314920056
PHR-368,27.81172327,184.2391463,CRED.nSPC,PHR-368 10-09-13 nSPC,Pearl & Hermes,Uninhabited,HI,19.2689991,525.2757685,0.95052969,atoll,0,3.485491276,6.5,4.621142857,103.16,40.72714286,380.5337143,0.109090909,0.901639344,0.098360656,-0.962211439
PHR-397,27.77124245,184.1027192,CRED.nSPC,PHR-397 10-09-17 nSPC,Pearl & Hermes,Uninhabited,HI,19.30800056,517.7152343,0.303785194,atoll,34598.44747,3.485491276,13,34.69057143,0,0,34.69057143,0.007444169,0.992610838,0.007389163,-2.128183792
LIS-155,26.08821698,186.0137346,CRED.nSPC,LIS-155 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.6760006,772.476058,0.769594647,atoll,287868.3612,3.660858393,14.5,100.5682857,4.015142857,116.648,221.2314286,0.3894081,0.719730942,0.280269058,-0.409595019
LIS-165,26.08411672,186.0553815,CRED.nSPC,LIS-165 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.74500084,724.5665935,0.663952179,atoll,287829.7456,3.660858393,13.5,38.85571429,17.28171429,124.0968571,180.2342857,0.766393443,0.555808656,0.425968109,-0.11554822
LIS-176,26.10029966,186.029552,CRED.nSPC,LIS-176 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.74500084,724.5665935,1.181996142,atoll,289189.58,3.660858393,22,1.418285714,0,86.21971429,87.638,1.311764706,0.432569975,0.567430026,0.117855942
LIS-142,26.09191541,186.0434043,CRED.nSPC,LIS-142 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.74500084,724.5665935,0.843564133,atoll,288668.2081,3.660858393,14,26.92171429,15.88685714,126.2994286,169.108,0.824267783,0.548165138,0.451834862,-0.083931675
LIS-141,26.08844421,186.022217,CRED.nSPC,LIS-141 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.74500084,724.5665935,0.766109266,atoll,288380.8768,3.660858393,13,32.244,0,109.6997143,141.9437143,1.197044335,0.455156951,0.544843049,0.078110236
LIS-430,26.06315,186.04491,CRED.nSPC,LIS-430 11-08-11 nSPC,Lisianski,Uninhabited,HI,20.74500084,706.2911544,0.626476659,atoll,90110.68592,3.660858393,5.7,76.69971429,12.436,186.08,307.856,2.271428571,0.199430199,0.452991453,0.356299084
LIS-156,26.08378856,186.0877991,CRED.nSPC,LIS-156 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.83799934,706.2911544,1.030345708,atoll,288473.5112,3.660858393,25,14.24828571,0,123.6822857,137.9305714,0.931818182,0.517647059,0.482352941,-0.03066882
LIS-145,26.07116994,186.0768147,CRED.nSPC,LIS-145 10-09-23 nSPC,Lisianski,Uninhabited,HI,20.83799934,706.2911544,0.852546959,atoll,286224.0455,3.660858393,13,140.6874286,8.030285714,186.08,354.79,1.487179487,0.375,0.557692308,0.172363386
LIS-432,26.07808,186.0648,CRED.nSPC,LIS-432 11-08-11 nSPC,Lisianski,Uninhabited,HI,20.83799934,706.2911544,1.181996142,atoll,287051.7487,3.660858393,15.1,45.15,11.14971429,186.08,409.33,1.959459459,0.330357143,0.647321429,0.292136282
LIS-157,26.05743787,185.9735938,CRED.nSPC,LIS-157 10-09-24 nSPC,Lisianski,Uninhabited,HI,20.92200089,743.3598885,0.719063239,atoll,250778.3918,3.660858393,24,49.18857143,0,182.5257143,231.7142857,1.071428571,0.482758621,0.517241379,0.029963223
LIS-233,26.04704,185.95279,CRED.nSPC,LIS-233 11-08-11 nSPC,Lisianski,Uninhabited,HI,20.92200089,743.3598885,0.256130336,atoll,251752.5731,3.660858393,28.4,63.90657143,0,35.79142857,99.698,0.065326633,0.910755149,0.059496568,-1.184909724
